Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;RandomKeys;Size;UseCapacity
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;43,190148;38,212601;ns/op;LockFree;Int;true;1024;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate;avgt;1;3;508,320823;441,449139;MB/sec;LockFree;Int;true;1024;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,156381;0,000768;B/op;LockFree;Int;true;1024;true
org.kblees.hashtable.AddBenchmark.add:·gc.count;avgt;1;3;0;NaN;counts;LockFree;Int;true;1024;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;43,030646;33,743219;ns/op;LockFree;Int;true;1149;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate;avgt;1;3;454,480271;350,863234;MB/sec;LockFree;Int;true;1149;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;21,528385;0,000982;B/op;LockFree;Int;true;1149;true
org.kblees.hashtable.AddBenchmark.add:·gc.count;avgt;1;3;0;NaN;counts;LockFree;Int;true;1149;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;43,375767;30,966547;ns/op;LockFree;Int;true;1290;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate;avgt;1;3;401,777379;283,538287;MB/sec;LockFree;Int;true;1290;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,175333;0,000595;B/op;LockFree;Int;true;1290;true
org.kblees.hashtable.AddBenchmark.add:·gc.count;avgt;1;3;0;NaN;counts;LockFree;Int;true;1290;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;46,8304;29,928742;ns/op;LockFree;Int;true;1448;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate;avgt;1;3;331,309001;206,293419;MB/sec;LockFree;Int;true;1448;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;17,082982;0,001024;B/op;LockFree;Int;true;1448;true
org.kblees.hashtable.AddBenchmark.add:·gc.count;avgt;1;3;0;NaN;counts;LockFree;Int;true;1448;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;48,047935;26,245033;ns/op;LockFree;Int;true;1625;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate;avgt;1;3;287,583223;154,081147;MB/sec;LockFree;Int;true;1625;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;15,222283;0,000711;B/op;LockFree;Int;true;1625;true
org.kblees.hashtable.AddBenchmark.add:·gc.count;avgt;1;3;0;NaN;counts;LockFree;Int;true;1625;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;49,069169;22,231261;ns/op;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate;avgt;1;3;250,780131;111,074329;MB/sec;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;13,554087;0,000961;B/op;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add:·gc.churn.G1_Eden_Space;avgt;1;3;45,395666;1434,460122;MB/sec;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add:·gc.churn.G1_Eden_Space.norm;avgt;1;3;2,418187;76,412436;B/op;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add:·gc.churn.G1_Old_Gen;avgt;1;3;0,170169;5,37718;MB/sec;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add:·gc.churn.G1_Old_Gen.norm;avgt;1;3;0,009065;0,286438;B/op;LockFree;Int;true;1825;true
