"Benchmark";"Mode";"Threads";"Samples";"Score";"Score Error (99,9%)";"Unit";"HashTable";"Key";"RandomKeys";"Size";"UseCapacity"
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;141,923057;4,434250;"ns/op";LockFree;Int;true;1024;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;134,501383;8,293976;"ns/op";LockFree;Int;true;1149;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;125,562122;2,925027;"ns/op";LockFree;Int;true;1290;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;120,535332;26,538402;"ns/op";LockFree;Int;true;1448;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;113,534528;7,717179;"ns/op";LockFree;Int;true;1625;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;107,481126;5,242940;"ns/op";LockFree;Int;true;1825;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;146,771138;54,370405;"ns/op";LockFree;Int;true;2048;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;134,490822;3,214040;"ns/op";LockFree;Int;true;2299;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;124,151655;2,235587;"ns/op";LockFree;Int;true;2580;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;114,233338;5,406605;"ns/op";LockFree;Int;true;2896;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;107,770813;3,262472;"ns/op";LockFree;Int;true;3251;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;100,619423;2,587737;"ns/op";LockFree;Int;true;3649;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;132,287883;10,234846;"ns/op";LockFree;Int;true;4096;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;120,826432;2,218857;"ns/op";LockFree;Int;true;4598;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;114,470136;7,210961;"ns/op";LockFree;Int;true;5161;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;109,672324;4,977293;"ns/op";LockFree;Int;true;5793;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;105,303193;1,369645;"ns/op";LockFree;Int;true;6502;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;100,721699;3,243662;"ns/op";LockFree;Int;true;7298;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;133,005815;4,202176;"ns/op";LockFree;Int;true;8192;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;123,463871;5,451985;"ns/op";LockFree;Int;true;9195;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;116,092091;13,143470;"ns/op";LockFree;Int;true;10321;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;111,603762;18,151847;"ns/op";LockFree;Int;true;11585;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;105,765183;25,033393;"ns/op";LockFree;Int;true;13004;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;98,046058;4,168671;"ns/op";LockFree;Int;true;14596;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;136,396723;0,763945;"ns/op";LockFree;Int;true;16384;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;76,218158;10,593551;"ns/op";Concurrent;Int;true;1024;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;73,907722;11,361589;"ns/op";Concurrent;Int;true;1149;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;68,868288;6,810361;"ns/op";Concurrent;Int;true;1290;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;64,534385;4,885466;"ns/op";Concurrent;Int;true;1448;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;96,139755;2,683698;"ns/op";Concurrent;Int;true;1625;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;90,752819;1,080432;"ns/op";Concurrent;Int;true;1825;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;81,554693;2,183109;"ns/op";Concurrent;Int;true;2048;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;76,476906;2,123858;"ns/op";Concurrent;Int;true;2299;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;71,741326;5,137765;"ns/op";Concurrent;Int;true;2580;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;67,725383;16,388402;"ns/op";Concurrent;Int;true;2896;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;97,215657;3,579518;"ns/op";Concurrent;Int;true;3251;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;91,064702;18,046052;"ns/op";Concurrent;Int;true;3649;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;84,564926;13,229614;"ns/op";Concurrent;Int;true;4096;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;76,807278;2,316722;"ns/op";Concurrent;Int;true;4598;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;71,823040;3,516993;"ns/op";Concurrent;Int;true;5161;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;67,165726;3,795032;"ns/op";Concurrent;Int;true;5793;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;99,847598;4,068509;"ns/op";Concurrent;Int;true;6502;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;90,483616;6,660765;"ns/op";Concurrent;Int;true;7298;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;84,620670;2,565750;"ns/op";Concurrent;Int;true;8192;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;79,420579;3,287224;"ns/op";Concurrent;Int;true;9195;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;78,540807;34,269987;"ns/op";Concurrent;Int;true;10321;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;70,174818;5,230532;"ns/op";Concurrent;Int;true;11585;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;102,881769;2,955265;"ns/op";Concurrent;Int;true;13004;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;95,128279;1,645000;"ns/op";Concurrent;Int;true;14596;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;88,225487;8,285895;"ns/op";Concurrent;Int;true;16384;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;27,858245;7,352348;"ns/op";Koloboke;Int;true;1024;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;28,175290;6,441973;"ns/op";Koloboke;Int;true;1149;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;31,514852;5,384357;"ns/op";Koloboke;Int;true;1290;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;44,593195;3,572154;"ns/op";Koloboke;Int;true;1448;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;41,914144;2,743965;"ns/op";Koloboke;Int;true;1625;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;40,992577;0,404309;"ns/op";Koloboke;Int;true;1825;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;36,226153;0,799075;"ns/op";Koloboke;Int;true;2048;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;34,214561;2,199570;"ns/op";Koloboke;Int;true;2299;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;33,075840;0,729313;"ns/op";Koloboke;Int;true;2580;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;44,933100;0,319312;"ns/op";Koloboke;Int;true;2896;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;43,497593;1,035296;"ns/op";Koloboke;Int;true;3251;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;40,336820;0,857014;"ns/op";Koloboke;Int;true;3649;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;36,149579;1,843387;"ns/op";Koloboke;Int;true;4096;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;36,053059;7,691386;"ns/op";Koloboke;Int;true;4598;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;35,232647;1,230877;"ns/op";Koloboke;Int;true;5161;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;48,680394;7,275921;"ns/op";Koloboke;Int;true;5793;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;45,280104;2,524436;"ns/op";Koloboke;Int;true;6502;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;42,387656;7,414653;"ns/op";Koloboke;Int;true;7298;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;39,624100;2,365863;"ns/op";Koloboke;Int;true;8192;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;37,984627;6,247876;"ns/op";Koloboke;Int;true;9195;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;36,756395;7,841624;"ns/op";Koloboke;Int;true;10321;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;50,427858;6,182699;"ns/op";Koloboke;Int;true;11585;false
"org.kblees.hashtable.AddBenchmark.put";"avgt";1;3;46,480152;2,182962;"ns/op";Koloboke;Int;true;13004;false
