Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;RandomKeys;Size;UseCapacity
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;148,830392;151,586369;ns/op;LockFree;LongString;true;1024;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;138,254527;93,64666;ns/op;LockFree;LongString;true;1149;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;130,054064;113,701354;ns/op;LockFree;LongString;true;1290;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;116,889561;72,971981;ns/op;LockFree;LongString;true;1448;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;113,613116;95,565484;ns/op;LockFree;LongString;true;1625;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;108,893919;69,862858;ns/op;LockFree;LongString;true;1825;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;145,234488;143,64503;ns/op;LockFree;LongString;true;2048;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;133,995994;119,276916;ns/op;LockFree;LongString;true;2299;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;128,817169;91,007353;ns/op;LockFree;LongString;true;2580;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;120,446516;64,311645;ns/op;LockFree;LongString;true;2896;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;114,421114;66,1691;ns/op;LockFree;LongString;true;3251;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;108,85815;93,591203;ns/op;LockFree;LongString;true;3649;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;142,925198;116,529099;ns/op;LockFree;LongString;true;4096;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;134,592564;98,018514;ns/op;LockFree;LongString;true;4598;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;126,003432;83,373781;ns/op;LockFree;LongString;true;5161;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;118,63549;73,785079;ns/op;LockFree;LongString;true;5793;false
