Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;RandomKeys;Size;UseCapacity
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;173,954092;133,532863;ns/op;LockFree;SlowHashInt;true;1024;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;160,230778;116,938439;ns/op;LockFree;SlowHashInt;true;1149;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;149,943539;110,581607;ns/op;LockFree;SlowHashInt;true;1290;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;146,221355;102,096253;ns/op;LockFree;SlowHashInt;true;1448;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;139,12904;68,23721;ns/op;LockFree;SlowHashInt;true;1625;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;132,95447;96,127678;ns/op;LockFree;SlowHashInt;true;1825;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;174,156059;135,588954;ns/op;LockFree;SlowHashInt;true;2048;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;158,652641;86,747765;ns/op;LockFree;SlowHashInt;true;2299;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;149,105562;114,701956;ns/op;LockFree;SlowHashInt;true;2580;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;137,519994;82,015175;ns/op;LockFree;SlowHashInt;true;2896;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;131,01242;73,795573;ns/op;LockFree;SlowHashInt;true;3251;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;122,435531;66,419153;ns/op;LockFree;SlowHashInt;true;3649;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;153,635907;100,07906;ns/op;LockFree;SlowHashInt;true;4096;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;143,418903;102,360795;ns/op;LockFree;SlowHashInt;true;4598;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;134,731894;90,091649;ns/op;LockFree;SlowHashInt;true;5161;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;130,778469;75,159198;ns/op;LockFree;SlowHashInt;true;5793;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;126,491288;66,944348;ns/op;LockFree;SlowHashInt;true;6502;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;120,754844;69,399981;ns/op;LockFree;SlowHashInt;true;7298;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;155,745044;105,710915;ns/op;LockFree;SlowHashInt;true;8192;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;143,857323;88,477872;ns/op;LockFree;SlowHashInt;true;9195;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;134,090365;86,509737;ns/op;LockFree;SlowHashInt;true;10321;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;130,671795;75,526257;ns/op;LockFree;SlowHashInt;true;11585;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;124,725081;67,19408;ns/op;LockFree;SlowHashInt;true;13004;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;117,836296;62,256448;ns/op;LockFree;SlowHashInt;true;14596;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;154,750273;105,454037;ns/op;LockFree;SlowHashInt;true;16384;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;229,40466;81,473312;ns/op;LockFree;SlowHashInt;true;1024000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;222,604203;80,869175;ns/op;LockFree;SlowHashInt;true;1149000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;220,652387;56,477597;ns/op;LockFree;SlowHashInt;true;1290000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;211,330652;64,042573;ns/op;LockFree;SlowHashInt;true;1448000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;210,570296;74,878559;ns/op;LockFree;SlowHashInt;true;1625000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;206,196615;51,44457;ns/op;LockFree;SlowHashInt;true;1825000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;257,988864;94,00361;ns/op;LockFree;SlowHashInt;true;2048000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;248,253547;101,595386;ns/op;LockFree;SlowHashInt;true;2299000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;241,478628;41,130694;ns/op;LockFree;SlowHashInt;true;2580000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;233,306208;72,334916;ns/op;LockFree;SlowHashInt;true;2896000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;228,419216;71,066583;ns/op;LockFree;SlowHashInt;true;3251000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;224,071411;18,721228;ns/op;LockFree;SlowHashInt;true;3649000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;274,221442;122,463789;ns/op;LockFree;SlowHashInt;true;4096000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;263,899024;118,021205;ns/op;LockFree;SlowHashInt;true;4598000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;258,844929;59,91624;ns/op;LockFree;SlowHashInt;true;5161000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;253,821326;80,778658;ns/op;LockFree;SlowHashInt;true;5793000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;243,491401;67,422325;ns/op;LockFree;SlowHashInt;true;6502000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;238,188524;41,625268;ns/op;LockFree;SlowHashInt;true;7298000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;281,174147;151,680379;ns/op;LockFree;SlowHashInt;true;8192000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;276,299526;185,338451;ns/op;LockFree;SlowHashInt;true;9195000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;265,952624;223,083799;ns/op;LockFree;SlowHashInt;true;10321000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;264,749392;73,889203;ns/op;LockFree;SlowHashInt;true;11585000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;252,961855;58,129954;ns/op;LockFree;SlowHashInt;true;13004000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;252,280682;108,287894;ns/op;LockFree;SlowHashInt;true;14596000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;291,793655;130,619901;ns/op;LockFree;SlowHashInt;true;16384000;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;103,187075;98,580972;ns/op;Concurrent;SlowHashInt;true;1024;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;99,359873;87,452508;ns/op;Concurrent;SlowHashInt;true;1149;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;94,724895;84,829682;ns/op;Concurrent;SlowHashInt;true;1290;false
org.kblees.hashtable.AddBenchmark.put;avgt;1;3;89,847446;82,760217;ns/op;Concurrent;SlowHashInt;true;1448;false
