Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;RandomKeys;Size;UseCapacity
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;43,190148;38,212601;ns/op;LockFree;Int;true;1024;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;43,030646;33,743219;ns/op;LockFree;Int;true;1149;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;43,375767;30,966547;ns/op;LockFree;Int;true;1290;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;46,8304;29,928742;ns/op;LockFree;Int;true;1448;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;48,047935;26,245033;ns/op;LockFree;Int;true;1625;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;49,069169;22,231261;ns/op;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;41,757198;36,573588;ns/op;LockFree;Int;true;2048;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;41,574889;32,72496;ns/op;LockFree;Int;true;2299;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;41,748996;29,915443;ns/op;LockFree;Int;true;2580;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;40,779908;29,351936;ns/op;LockFree;Int;true;2896;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;41,161357;23,622651;ns/op;LockFree;Int;true;3251;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;42,570793;16,88199;ns/op;LockFree;Int;true;3649;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;36,87337;36,127564;ns/op;LockFree;Int;true;4096;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;36,8663;35,091276;ns/op;LockFree;Int;true;4598;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;38,987842;33,628543;ns/op;LockFree;Int;true;5161;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;39,351252;26,518485;ns/op;LockFree;Int;true;5793;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;41,190069;22,397395;ns/op;LockFree;Int;true;6502;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;42,36679;21,071845;ns/op;LockFree;Int;true;7298;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;40,328046;35,953839;ns/op;LockFree;Int;true;8192;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;38,766771;30,631379;ns/op;LockFree;Int;true;9195;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;37,716827;34,409383;ns/op;LockFree;Int;true;10321;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;39,904112;27,290393;ns/op;LockFree;Int;true;11585;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;37,340427;21,37122;ns/op;LockFree;Int;true;13004;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;38,545922;20,339083;ns/op;LockFree;Int;true;14596;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;38,19581;33,0967;ns/op;LockFree;Int;true;16384;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;114,733032;37,187908;ns/op;LockFree;Int;true;1024000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;114,109655;27,750944;ns/op;LockFree;Int;true;1149000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;116,425329;32,804996;ns/op;LockFree;Int;true;1290000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;114,263759;25,914323;ns/op;LockFree;Int;true;1448000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;116,733391;33,022963;ns/op;LockFree;Int;true;1625000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;119,868062;28,405233;ns/op;LockFree;Int;true;1825000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;123,209776;40,115717;ns/op;LockFree;Int;true;2048000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;121,65538;36,623003;ns/op;LockFree;Int;true;2299000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;122,296317;33,338914;ns/op;LockFree;Int;true;2580000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;123,312561;20,872088;ns/op;LockFree;Int;true;2896000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;127,237746;18,553965;ns/op;LockFree;Int;true;3251000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;130,91766;45,739118;ns/op;LockFree;Int;true;3649000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;130,35032;20,950577;ns/op;LockFree;Int;true;4096000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;129,151909;20,860191;ns/op;LockFree;Int;true;4598000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;130,739803;12,1911;ns/op;LockFree;Int;true;5161000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;132,813458;72,745221;ns/op;LockFree;Int;true;5793000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;133,060544;29,143386;ns/op;LockFree;Int;true;6502000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;134,232034;24,03333;ns/op;LockFree;Int;true;7298000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;133,336651;26,303327;ns/op;LockFree;Int;true;8192000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;131,158569;32,690963;ns/op;LockFree;Int;true;9195000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;135,272268;43,721166;ns/op;LockFree;Int;true;10321000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;134,564337;18,371666;ns/op;LockFree;Int;true;11585000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;134,644735;38,433016;ns/op;LockFree;Int;true;13004000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;132,738753;8,696642;ns/op;LockFree;Int;true;14596000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;135,799493;29,789256;ns/op;LockFree;Int;true;16384000;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;31,475526;27,985243;ns/op;Concurrent;Int;true;1024;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;30,154051;24,506599;ns/op;Concurrent;Int;true;1149;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;30,715139;27,702909;ns/op;Concurrent;Int;true;1290;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;31,399361;31,598125;ns/op;Concurrent;Int;true;1448;true
org.kblees.hashtable.AddBenchmark.add;avgt;1;3;29,360193;25,199015;ns/op;Concurrent;Int;true;1625;true
