Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;RandomKeys;Size;UseCapacity
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,156381;0,000768;B/op;LockFree;Int;true;1024;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;21,528385;0,000982;B/op;LockFree;Int;true;1149;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,175333;0,000595;B/op;LockFree;Int;true;1290;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;17,082982;0,001024;B/op;LockFree;Int;true;1448;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;15,222283;0,000711;B/op;LockFree;Int;true;1625;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;13,554087;0,000961;B/op;LockFree;Int;true;1825;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,078341;0,002696;B/op;LockFree;Int;true;2048;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;21,449551;0,001598;B/op;LockFree;Int;true;2299;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,113363;0,002606;B/op;LockFree;Int;true;2580;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;17,027844;0,001355;B/op;LockFree;Int;true;2896;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;15,168426;0,001168;B/op;LockFree;Int;true;3251;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;13,514046;0,001926;B/op;LockFree;Int;true;3649;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,039411;0,00551;B/op;LockFree;Int;true;4096;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;21,414889;0,004813;B/op;LockFree;Int;true;4598;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,078755;0,003789;B/op;LockFree;Int;true;5161;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;16,997437;0,004382;B/op;LockFree;Int;true;5793;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;15,144162;0,001604;B/op;LockFree;Int;true;6502;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;13,492323;0,003397;B/op;LockFree;Int;true;7298;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,0204;0,006015;B/op;LockFree;Int;true;8192;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;21,400048;0,011201;B/op;LockFree;Int;true;9195;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,0656;0,005676;B/op;LockFree;Int;true;10321;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;16,985349;0,00404;B/op;LockFree;Int;true;11585;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;15,1322;0,002308;B/op;LockFree;Int;true;13004;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;13,481849;0,00917;B/op;LockFree;Int;true;14596;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,011232;0,011254;B/op;LockFree;Int;true;16384;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,311385;1,730262;B/op;LockFree;Int;true;1024000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;21,589241;4,037691;B/op;LockFree;Int;true;1149000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,413635;2,336636;B/op;LockFree;Int;true;1290000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;17,326837;4,347759;B/op;LockFree;Int;true;1448000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;15,354555;2,235726;B/op;LockFree;Int;true;1625000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;13,760413;0,293823;B/op;LockFree;Int;true;1825000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;24,789047;5,718153;B/op;LockFree;Int;true;2048000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;22,004304;4,508745;B/op;LockFree;Int;true;2299000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,664316;8,381121;B/op;LockFree;Int;true;2580000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;17,554969;4,421217;B/op;LockFree;Int;true;2896000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;15,77737;8,20299;B/op;LockFree;Int;true;3251000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;14,033058;4,857325;B/op;LockFree;Int;true;3649000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;25,326705;10,912977;B/op;LockFree;Int;true;4096000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;22,919015;9,998189;B/op;LockFree;Int;true;4598000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;20,594353;14,326199;B/op;LockFree;Int;true;5161000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;18,699033;10,195068;B/op;LockFree;Int;true;5793000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;16,494464;11,882182;B/op;LockFree;Int;true;6502000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;14,850656;2,664009;B/op;LockFree;Int;true;7298000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;26,810059;5,583537;B/op;LockFree;Int;true;8192000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;23,73981;5,994002;B/op;LockFree;Int;true;9195000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;21,769454;7,168023;B/op;LockFree;Int;true;10321000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;19,840386;26,516563;B/op;LockFree;Int;true;11585000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;18,050073;32,000128;B/op;LockFree;Int;true;13004000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;16,023126;1,020122;B/op;LockFree;Int;true;14596000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;30,983015;64,016973;B/op;LockFree;Int;true;16384000;true
org.kblees.hashtable.AddBenchmark.add:·gc.alloc.rate.norm;avgt;1;3;40,171874;0,000106;B/op;Concurrent;Int;true;1024;true
