Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;MissPercent;RandomKeys;Size;UseCapacity
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,84067;1,171054;ns/op;LockFree;Int;0;true;1024;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,305002;10,248934;ns/op;LockFree;Int;0;true;1149;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,573025;2,153551;ns/op;LockFree;Int;0;true;1290;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,291856;5,593568;ns/op;LockFree;Int;0;true;1448;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,817116;5,108304;ns/op;LockFree;Int;0;true;1625;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;17,897979;9,828218;ns/op;LockFree;Int;0;true;1825;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,96281;3,573649;ns/op;LockFree;Int;0;true;2048;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,738759;5,50369;ns/op;LockFree;Int;0;true;2299;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,69633;1,220084;ns/op;LockFree;Int;0;true;2580;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,113177;5,30867;ns/op;LockFree;Int;0;true;2896;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,333462;1,654334;ns/op;LockFree;Int;0;true;3251;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,84645;4,2544;ns/op;LockFree;Int;0;true;3649;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,385254;5,315296;ns/op;LockFree;Int;0;true;4096;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,377911;7,959677;ns/op;LockFree;Int;0;true;4598;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;18,28471;1,70653;ns/op;LockFree;Int;0;true;5161;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;18,469614;1,774632;ns/op;LockFree;Int;0;true;5793;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;19,17595;6,531514;ns/op;LockFree;Int;0;true;6502;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;20,436955;1,369078;ns/op;LockFree;Int;0;true;7298;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;22,001298;6,161872;ns/op;LockFree;Int;0;true;8192;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;21,886989;3,074675;ns/op;LockFree;Int;0;true;9195;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;22,759958;10,238277;ns/op;LockFree;Int;0;true;10321;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;22,466415;3,519913;ns/op;LockFree;Int;0;true;11585;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;22,957527;5,347251;ns/op;LockFree;Int;0;true;13004;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;23,555914;2,33139;ns/op;LockFree;Int;0;true;14596;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;25,627385;4,629324;ns/op;LockFree;Int;0;true;16384;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;208,954137;15,088894;ns/op;LockFree;Int;0;true;1024000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;209,015796;7,989145;ns/op;LockFree;Int;0;true;1149000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;211,032156;53,012408;ns/op;LockFree;Int;0;true;1290000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;209,995516;30,819427;ns/op;LockFree;Int;0;true;1448000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;212,906991;5,971869;ns/op;LockFree;Int;0;true;1625000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;213,123797;16,289551;ns/op;LockFree;Int;0;true;1825000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;249,271369;84,606402;ns/op;LockFree;Int;0;true;2048000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;252,20451;74,535658;ns/op;LockFree;Int;0;true;2299000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;250,16578;69,514978;ns/op;LockFree;Int;0;true;2580000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;246,731503;21,665446;ns/op;LockFree;Int;0;true;2896000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;247,642357;28,362521;ns/op;LockFree;Int;0;true;3251000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;244,84455;42,296473;ns/op;LockFree;Int;0;true;3649000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;268,626779;95,75197;ns/op;LockFree;Int;0;true;4096000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;266,572049;93,865772;ns/op;LockFree;Int;0;true;4598000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;271,486041;9,828619;ns/op;LockFree;Int;0;true;5161000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;269,357617;12,158702;ns/op;LockFree;Int;0;true;5793000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;265,696434;7,089669;ns/op;LockFree;Int;0;true;6502000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;263,841547;24,647645;ns/op;LockFree;Int;0;true;7298000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;275,666177;98,791895;ns/op;LockFree;Int;0;true;8192000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;278,235234;70,688651;ns/op;LockFree;Int;0;true;9195000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;277,110217;86,982045;ns/op;LockFree;Int;0;true;10321000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;277,078916;74,739332;ns/op;LockFree;Int;0;true;11585000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;276,205509;43,355421;ns/op;LockFree;Int;0;true;13004000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;276,444078;22,128377;ns/op;LockFree;Int;0;true;14596000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;275,078632;36,389252;ns/op;LockFree;Int;0;true;16384000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;13,71044;3,397163;ns/op;LockFree;Int;0;false;1024;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;13,827893;0,450869;ns/op;LockFree;Int;0;false;1149;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;14,468514;4,912558;ns/op;LockFree;Int;0;false;1290;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;14,714085;3,704995;ns/op;LockFree;Int;0;false;1448;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;14,408743;7,075235;ns/op;LockFree;Int;0;false;1625;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;14,920292;1,837054;ns/op;LockFree;Int;0;false;1825;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;18,676666;2,189707;ns/op;LockFree;Int;0;false;2048;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,10821;0,72218;ns/op;LockFree;Int;0;false;2299;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;14,735929;6,048897;ns/op;LockFree;Int;0;false;2580;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,692278;6,088081;ns/op;LockFree;Int;0;false;2896;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,045025;7,403253;ns/op;LockFree;Int;0;false;3251;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;21,185423;4,909188;ns/op;LockFree;Int;0;false;3649;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,088502;4,416692;ns/op;LockFree;Int;0;false;4096;true
