Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;MissPercent;RandomKeys;Size;UseCapacity
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;76,755039;31,822487;ns/op;LockFree;LongString;0;true;1024;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;81,629003;10,362834;ns/op;LockFree;LongString;0;true;1149;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;88,252676;10,33666;ns/op;LockFree;LongString;0;true;1290;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;86,1665;4,303015;ns/op;LockFree;LongString;0;true;1448;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;89,495077;10,689496;ns/op;LockFree;LongString;0;true;1625;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;93,714572;3,025501;ns/op;LockFree;LongString;0;true;1825;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;95,290275;5,31527;ns/op;LockFree;LongString;0;true;2048;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;97,106966;1,437269;ns/op;LockFree;LongString;0;true;2299;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;97,032825;9,230398;ns/op;LockFree;LongString;0;true;2580;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;100,099783;4,699158;ns/op;LockFree;LongString;0;true;2896;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;99,974966;4,389455;ns/op;LockFree;LongString;0;true;3251;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;100,390658;14,059447;ns/op;LockFree;LongString;0;true;3649;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;101,186868;9,975638;ns/op;LockFree;LongString;0;true;4096;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;101,347354;6,364581;ns/op;LockFree;LongString;0;true;4598;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;104,237236;11,620694;ns/op;LockFree;LongString;0;true;5161;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;107,148871;14,195883;ns/op;LockFree;LongString;0;true;5793;true
