Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;RandomKeys;Size;Type;UseCapacity
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;11,404995;0,653486;ns/op;true;1024;Array;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;10,879739;1,985222;ns/op;true;1024;Array94;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,711479;0,265653;ns/op;true;1024;Cellar;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;35,547963;0,236092;ns/op;true;1024;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,393816;0,069346;ns/op;true;1024;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,459414;0,173902;ns/op;true;1024;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,677922;0,088941;ns/op;true;1024;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,497647;0,45549;ns/op;true;1024;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;11,910145;3,087882;ns/op;true;1149;Array;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;13,096446;0,637008;ns/op;true;1149;Array94;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,557381;0,309792;ns/op;true;1149;Cellar;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;35,797012;0,126408;ns/op;true;1149;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,469218;0,052416;ns/op;true;1149;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,594208;0,145131;ns/op;true;1149;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,87541;0,346652;ns/op;true;1149;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,63336;0,301457;ns/op;true;1149;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;13,142911;2,599963;ns/op;true;1290;Array;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;15,628666;0,243342;ns/op;true;1290;Array94;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,824435;0,061812;ns/op;true;1290;Cellar;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;36,278527;0,057998;ns/op;true;1290;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,509465;0,294416;ns/op;true;1290;FastUtil;true
