Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;RandomKeys;Size;Type;UseCapacity
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,686511;0,275945;ns/op;true;1024;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;40,141442;0,573599;ns/op;true;1024;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,746663;0,459659;ns/op;true;1024;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,489143;0,028917;ns/op;true;1024;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,289563;0,053865;ns/op;true;1024;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,787143;0,065295;ns/op;true;1024;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,101885;0,048757;ns/op;true;1024;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,574746;0,0411;ns/op;true;1149;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;39,988697;0,184594;ns/op;true;1149;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,813797;0,051581;ns/op;true;1149;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,739641;0,085395;ns/op;true;1149;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,48835;0,07491;ns/op;true;1149;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,835964;0,060964;ns/op;true;1149;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,943162;0,067788;ns/op;true;1149;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,515634;0,033217;ns/op;true;1290;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;38,151811;0,134388;ns/op;true;1290;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,778122;0,041161;ns/op;true;1290;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,958425;0,060893;ns/op;true;1290;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,839724;0,072195;ns/op;true;1290;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,832882;0,101731;ns/op;true;1290;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;10,437864;0,265075;ns/op;true;1290;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,533028;0,043054;ns/op;true;1448;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;39,244786;0,271534;ns/op;true;1448;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,244789;0,662451;ns/op;true;1448;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,831122;0,064576;ns/op;true;1448;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,536169;0,065624;ns/op;true;1448;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,262671;0,10203;ns/op;true;1448;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;10,918328;0,106276;ns/op;true;1448;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,3974;0,045737;ns/op;true;1625;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;39,183063;0,230928;ns/op;true;1625;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,778683;0,123502;ns/op;true;1625;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,518682;0,036801;ns/op;true;1625;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,915363;1,339069;ns/op;true;1625;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,672309;0,147511;ns/op;true;1625;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,18815;0,157883;ns/op;true;1625;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,378881;0,025687;ns/op;true;1825;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;42,453705;0,389514;ns/op;true;1825;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,72967;0,047241;ns/op;true;1825;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,216874;0,032629;ns/op;true;1825;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,705836;0,082642;ns/op;true;1825;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,185885;0,08026;ns/op;true;1825;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,224171;0,102551;ns/op;true;1825;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,268372;0,029745;ns/op;true;2048;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;36,415611;0,240835;ns/op;true;2048;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,757871;0,112666;ns/op;true;2048;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,849708;0,06521;ns/op;true;2048;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,808;0,059899;ns/op;true;2048;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,453147;0,025016;ns/op;true;2048;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,530418;0,04569;ns/op;true;2048;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,583767;0,158098;ns/op;true;2299;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;36,744384;1,30042;ns/op;true;2299;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,208542;0,099789;ns/op;true;2299;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,130576;0,760978;ns/op;true;2299;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,394553;0,191685;ns/op;true;2299;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,088533;0,182544;ns/op;true;2299;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,041272;0,108845;ns/op;true;2299;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,570259;0,10166;ns/op;true;2580;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;36,387125;0,309894;ns/op;true;2580;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,692866;0,201;ns/op;true;2580;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,711805;0,096552;ns/op;true;2580;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,420594;0,082977;ns/op;true;2580;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,996187;0,076362;ns/op;true;2580;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,888467;0,087715;ns/op;true;2580;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,46822;0,103337;ns/op;true;2896;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;36,218419;1,043499;ns/op;true;2896;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,467129;0,127819;ns/op;true;2896;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,020401;0,369356;ns/op;true;2896;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,426933;0,055238;ns/op;true;2896;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;10,092809;0,046526;ns/op;true;2896;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,070557;0,081933;ns/op;true;2896;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,44809;0,143621;ns/op;true;3251;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;37,408764;1,739812;ns/op;true;3251;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,350938;0,210568;ns/op;true;3251;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,967385;0,079408;ns/op;true;3251;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,521759;0,661619;ns/op;true;3251;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,009842;0,101011;ns/op;true;3251;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,21966;0,209273;ns/op;true;3251;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,442842;0,097789;ns/op;true;3649;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;37,150948;1,089998;ns/op;true;3649;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,587145;0,131368;ns/op;true;3649;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,545396;0,180428;ns/op;true;3649;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,400506;0,096397;ns/op;true;3649;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,652727;0,322401;ns/op;true;3649;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,132085;0,234516;ns/op;true;3649;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,385752;0,261415;ns/op;true;4096;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;35,35055;0,702785;ns/op;true;4096;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,905265;0,208536;ns/op;true;4096;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,023972;0,070674;ns/op;true;4096;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,318036;0,340581;ns/op;true;4096;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,545573;1,43682;ns/op;true;4096;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,102951;0,569587;ns/op;true;4096;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,684684;0,197459;ns/op;true;4598;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;35,455945;0,450799;ns/op;true;4598;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,833359;0,242296;ns/op;true;4598;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,540911;0,059183;ns/op;true;4598;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,258135;0,489745;ns/op;true;4598;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;10,100534;0,073796;ns/op;true;4598;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,912528;0,044868;ns/op;true;4598;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,610972;0,339596;ns/op;true;5161;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;36,855756;0,124057;ns/op;true;5161;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,363375;0,281147;ns/op;true;5161;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,592337;0,120834;ns/op;true;5161;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,31072;0,038245;ns/op;true;5161;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;11,067103;0,190255;ns/op;true;5161;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,099398;0,077095;ns/op;true;5161;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,53692;0,031211;ns/op;true;5793;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;36,875564;0,07556;ns/op;true;5793;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,419875;0,06798;ns/op;true;5793;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;8,196204;0,047677;ns/op;true;5793;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,479268;0,065926;ns/op;true;5793;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;12,01537;0,050625;ns/op;true;5793;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,584728;0,065893;ns/op;true;5793;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;5,550278;0,358361;ns/op;true;6502;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;38,195514;0,116394;ns/op;true;6502;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;7,264503;0,079943;ns/op;true;6502;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,319438;0,49981;ns/op;true;6502;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;6,667535;0,120417;ns/op;true;6502;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;5;9,553254;0,300571;ns/op;true;6502;OpenLinearMixModulo;true
