Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;MissPercent;RandomKeys;Size;Type
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,2993;1,10247;ns/op;0;true;1024;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,358114;0,17092;ns/op;0;true;1024;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,613808;0,419456;ns/op;0;true;1024;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,3423;1,439872;ns/op;0;true;1024;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,464254;1,006544;ns/op;0;true;1024;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,706006;0,493117;ns/op;0;true;1024;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,471679;1,06965;ns/op;0;true;1024;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,013792;0,100547;ns/op;0;true;1024;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,422499;1,276895;ns/op;0;true;1149;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,843313;0,288273;ns/op;0;true;1149;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;9,962181;0,522566;ns/op;0;true;1149;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,610848;0,656929;ns/op;0;true;1149;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,458004;0,890219;ns/op;0;true;1149;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,794256;0,647068;ns/op;0;true;1149;Koloboke
