Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;MissPercent;RandomKeys;Size;Type
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,135283;0,282596;ns/op;0;false;1024;SeparateChaining
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,281481;0,174239;ns/op;0;false;1024;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,175142;0,168586;ns/op;0;false;1024;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,717968;0,443868;ns/op;0;false;1024;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,734929;0,342559;ns/op;0;false;1024;OpenLinearMixModulo
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;7,930938;0,286466;ns/op;0;false;1024;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;10,717002;0,354295;ns/op;0;false;1024;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,116683;0,198182;ns/op;0;false;1149;SeparateChaining
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,311782;0,367317;ns/op;0;false;1149;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,322692;0,697723;ns/op;0;false;1149;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,416157;0,552167;ns/op;0;false;1149;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,257458;0,263661;ns/op;0;false;1149;OpenLinearMixModulo
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,554203;0,307763;ns/op;0;false;1149;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;10,437393;0,209321;ns/op;0;false;1149;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,09156;0,115281;ns/op;0;false;1290;SeparateChaining
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,493419;0,332618;ns/op;0;false;1290;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,361587;0,233597;ns/op;0;false;1290;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,204142;0,355569;ns/op;0;false;1290;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,340031;0,256007;ns/op;0;false;1290;OpenLinearMixModulo
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,139548;0,164203;ns/op;0;false;1290;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;10,537308;0,263724;ns/op;0;false;1290;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,087672;0,223427;ns/op;0;false;1448;SeparateChaining
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,808793;1,079657;ns/op;0;false;1448;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,143981;0,772802;ns/op;0;false;1448;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,203663;0,396462;ns/op;0;false;1448;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,223178;0,362656;ns/op;0;false;1448;OpenLinearMixModulo
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,523609;0,226188;ns/op;0;false;1448;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;10,573391;0,193859;ns/op;0;false;1448;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,620611;0,792827;ns/op;0;false;1625;SeparateChaining
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,186686;0,069395;ns/op;0;false;1625;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,358981;0,190023;ns/op;0;false;1625;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;8,351013;0,605927;ns/op;0;false;1625;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;9,060593;0,584237;ns/op;0;false;1625;OpenLinearMixModulo
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;7,904301;0,320987;ns/op;0;false;1625;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;5;10,685682;0,259701;ns/op;0;false;1625;LockFree
